"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","order","below_order","suborder","family","genus","species"
"1","1","root","root","1","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","",""
"554915","2759","below_superkingdom","Amoebozoa","1","131567","2759","554915","","","","","","","","",""
"555280","554915","below_below_superkingdom","Discosea","1","131567","2759","554915","555280","","","","","","","",""
"555369","554915","below_below_superkingdom","Tubulinea","1","131567","2759","554915","555369","","","","","","","",""
"180229","555369","below_below_below_superkingdom","Euamoebida","1","131567","2759","554915","555369","180229","","","","","","",""
"1485085","555280","below_below_below_superkingdom","Flabellinia","1","131567","2759","554915","555280","1485085","","","","","","",""
"555392","1485085","below_below_below_below_superkingdom","Dactylopodida","1","131567","2759","554915","555280","1485085","555392","","","","","",""
"318493","555369","order","Arcellinida","1","131567","2759","554915","555369","","","318493","","","","",""
"1485168","555280","order","Longamoebia","1","131567","2759","554915","555280","","","1485168","","","","",""
"1485169","1485168","below_order","Dermamoebida","1","131567","2759","554915","555280","","","1485168","1485169","","","",""
"318516","318493","suborder","Difflugina","1","131567","2759","554915","555369","","","318493","","318516","","",""
"1165354","318516","family","Difflugiidae","1","131567","2759","554915","555369","","","318493","","318516","1165354","",""
"136448","180229","family","Echinamoebidae","1","131567","2759","554915","555369","180229","","","","","136448","",""
"200887","555392","family","Paramoebidae","1","131567","2759","554915","555280","1485085","555392","","","","200887","",""
"95227","1485085","family","Vannellidae","1","131567","2759","554915","555280","1485085","","","","","95227","",""
"180225","555392","family","Vexilliferidae","1","131567","2759","554915","555280","1485085","555392","","","","180225","",""
"136451","136448","genus","Filamoeba","1","131567","2759","554915","555369","180229","","","","","136448","136451",""
"242540","1485169","genus","Mayorella","1","131567","2759","554915","555280","","","1485168","1485169","","","242540",""
"200890","200887","genus","Paramoeba","1","131567","2759","554915","555280","1485085","555392","","","","200887","200890",""
"498007","95227","genus","Pessonella","1","131567","2759","554915","555280","1485085","","","","","95227","498007",""
"1486928","1165354","genus","Sexangularia","1","131567","2759","554915","555369","","","318493","","318516","1165354","1486928",""
"498011","1485085","genus","Trichosphaerium","1","131567","2759","554915","555280","1485085","","","","","","498011",""
"95228","95227","genus","Vannella","1","131567","2759","554915","555280","1485085","","","","","95227","95228",""
"218659","180225","genus","Vexillifera","1","131567","2759","554915","555280","1485085","555392","","","","180225","218659",""
"136452","136451","species","Filamoeba nolandi","1","131567","2759","554915","555369","180229","","","","","136448","136451","136452"
"242541","242540","species","Mayorella sp. JJP-2003","1","131567","2759","554915","555280","","","1485168","1485169","","","242540","242541"
"180227","200890","species","Paramoeba aestuarina","1","131567","2759","554915","555280","1485085","555392","","","","200887","200890","180227"
"498008","498007","species","Pessonella sp. PRA-29","1","131567","2759","554915","555280","1485085","","","","","95227","498007","498008"
"498012","498011","species","Trichosphaerium sp. ATCC 40318","1","131567","2759","554915","555280","1485085","","","","","","498011","498012"
