"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","phylum","below_phylum","below_below_phylum","below_below_below_phylum","class","order","below_order","below_below_order","family","genus","species","below_species"
"1","1","root","root","1","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","",""
"2157","131567","superkingdom","Archaea","1","131567","2157","","","","","","","","","","","","",""
"1783275","2157","below_superkingdom","TACK group","1","131567","2157","1783275","","","","","","","","","","","",""
"28890","2157","phylum","Euryarchaeota","1","131567","2157","","28890","","","","","","","","","","",""
"651137","1783275","phylum","Thaumarchaeota","1","131567","2157","1783275","651137","","","","","","","","","","",""
"33867","28890","below_phylum","unclassified Euryarchaeota","1","131567","2157","","28890","33867","","","","","","","","","",""
"651142","651137","below_phylum","unclassified Thaumarchaeota","1","131567","2157","1783275","651137","651142","","","","","","","","","",""
"905826","651142","below_below_phylum","Marine Group I","1","131567","2157","1783275","651137","651142","905826","","","","","","","","",""
"133814","33867","below_below_phylum","Marine Group II","1","131567","2157","","28890","33867","133814","","","","","","","","",""
"133815","133814","below_below_below_phylum","environmental samples","1","131567","2157","","28890","33867","133814","133815","","","","","","","",""
"183967","28890","class","Thermoplasmata","1","131567","2157","","28890","","","","183967","","","","","","",""
"205948","651137","order","Cenarchaeales","1","131567","2157","1783275","651137","","","","","205948","","","","","",""
"31932","651137","order","Nitrosopumilales","1","131567","2157","1783275","651137","","","","","31932","","","","","",""
"2301","183967","order","Thermoplasmatales","1","131567","2157","","28890","","","","183967","2301","","","","","",""
"74967","2301","below_order","unclassified Thermoplasmatales","1","131567","2157","","28890","","","","183967","2301","74967","","","","",""
"1919231","74967","below_below_order","unclassified Thermoplasmatales (miscellaneous)","1","131567","2157","","28890","","","","183967","2301","74967","1919231","","","",""
"205957","205948","family","Cenarchaeaceae","1","131567","2157","1783275","651137","","","","","205948","","","205957","","",""
"338190","31932","family","Nitrosopumilaceae","1","131567","2157","1783275","651137","","","","","31932","","","338190","","",""
"1007082","338190","genus","Candidatus Nitrosoarchaeum","1","131567","2157","1783275","651137","","","","","31932","","","338190","1007082","",""
"46769","205957","genus","Cenarchaeum","1","131567","2157","1783275","651137","","","","","205948","","","205957","46769","",""
"338191","338190","genus","Nitrosopumilus","1","131567","2157","1783275","651137","","","","","31932","","","338190","338191","",""
"1088740","1007082","species","Candidatus Nitrosoarchaeum koreensis","1","131567","2157","1783275","651137","","","","","31932","","","338190","1007082","1088740",""
"1510466","338191","species","Candidatus Nitrosopumilus koreensis","1","131567","2157","1783275","651137","","","","","31932","","","338190","338191","1510466",""
"1170320","338191","species","Candidatus Nitrosopumilus salaria","1","131567","2157","1783275","651137","","","","","31932","","","338190","338191","1170320",""
"1229909","338191","species","Candidatus Nitrosopumilus sp. AR2","1","131567","2157","1783275","651137","","","","","31932","","","338190","338191","1229909",""
"46770","46769","species","Cenarchaeum symbiosum","1","131567","2157","1783275","651137","","","","","205948","","","205957","46769","46770",""
"1131268","133814","species","Marine Group II euryarchaeote SCGC AB-629-J06","1","131567","2157","","28890","33867","133814","","","","","","","","1131268",""
"338192","338191","species","Nitrosopumilus maritimus","1","131567","2157","1783275","651137","","","","","31932","","","338190","338191","338192",""
"1027373","338191","species","Nitrosopumilus sp. AR","1","131567","2157","1783275","651137","","","","","31932","","","338190","338191","1027373",""
"1027374","338191","species","Nitrosopumilus sp. SJ","1","131567","2157","1783275","651137","","","","","31932","","","338190","338191","1027374",""
"1242866","1919231","species","Thermoplasmatales archaeon SCGC AB-540-F20","1","131567","2157","","28890","","","","183967","2301","74967","1919231","","","1242866",""
"274854","133815","species","uncultured marine group II euryarchaeote","1","131567","2157","","28890","33867","133814","133815","","","","","","","274854",""
"1001994","1088740","below_species","Candidatus Nitrosoarchaeum koreensis MY1","1","131567","2157","1783275","651137","","","","","31932","","","338190","1007082","1088740","1001994"
"1229908","1510466","below_species","Candidatus Nitrosopumilus koreensis AR1","1","131567","2157","1783275","651137","","","","","31932","","","338190","338191","1510466","1229908"
"859350","1170320","below_species","Candidatus Nitrosopumilus salaria BD31","1","131567","2157","1783275","651137","","","","","31932","","","338190","338191","1170320","859350"
"414004","46770","below_species","Cenarchaeum symbiosum A","1","131567","2157","1783275","651137","","","","","205948","","","205957","46769","46770","414004"
"436308","338192","below_species","Nitrosopumilus maritimus SCM1","1","131567","2157","1783275","651137","","","","","31932","","","338190","338191","338192","436308"
