"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","kingdom","subkingdom","phylum","below_phylum","subphylum","class","order","family","genus","species","varietas","below_varietas"
"1","1","root","root","1","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","",""
"33154","2759","below_superkingdom","Opisthokonta","1","131567","2759","33154","","","","","","","","","","","",""
"4751","33154","kingdom","Fungi","1","131567","2759","33154","4751","","","","","","","","","","",""
"451864","4751","subkingdom","Dikarya","1","131567","2759","33154","4751","451864","","","","","","","","","",""
"4890","451864","phylum","Ascomycota","1","131567","2759","33154","4751","451864","4890","","","","","","","","",""
"716545","4890","below_phylum","saccharomyceta","1","131567","2759","33154","4751","451864","4890","716545","","","","","","","",""
"147537","716545","subphylum","Saccharomycotina","1","131567","2759","33154","4751","451864","4890","716545","147537","","","","","","",""
"4891","147537","class","Saccharomycetes","1","131567","2759","33154","4751","451864","4890","716545","147537","4891","","","","","",""
"28009","33154","order","Choanoflagellida","1","131567","2759","33154","","","","","","","28009","","","","",""
"4892","4891","order","Saccharomycetales","1","131567","2759","33154","4751","451864","4890","716545","147537","4891","4892","","","","",""
"28010","28009","family","Acanthoecidae","1","131567","2759","33154","","","","","","","28009","28010","","","",""
"766764","4892","family","Debaryomycetaceae","1","131567","2759","33154","4751","451864","4890","716545","147537","4891","4892","766764","","","",""
"81532","28010","genus","Acanthoeca","1","131567","2759","33154","","","","","","","28009","28010","81532","","",""
"4958","766764","genus","Debaryomyces","1","131567","2759","33154","4751","451864","4890","716545","147537","4891","4892","766764","4958","","",""
"4959","4958","species","Debaryomyces hansenii","1","131567","2759","33154","4751","451864","4890","716545","147537","4891","4892","766764","4958","4959","",""
"58641","4959","varietas","Debaryomyces hansenii var. hansenii","1","131567","2759","33154","4751","451864","4890","716545","147537","4891","4892","766764","4958","4959","58641",""
"284592","58641","below_varietas","Debaryomyces hansenii CBS767","1","131567","2759","33154","4751","451864","4890","716545","147537","4891","4892","766764","4958","4959","58641","284592"
