"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","phylum","order","suborder","superfamily","family","subfamily","genus","species","below_species"
"1","1","root","root","1","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","",""
"543769","2759","below_superkingdom","Rhizaria","1","131567","2759","543769","","","","","","","","","","","",""
"136419","543769","below_below_superkingdom","Cercozoa","1","131567","2759","543769","136419","","","","","","","","","","",""
"29178","543769","below_below_superkingdom","Foraminifera","1","131567","2759","543769","29178","","","","","","","","","","",""
"1871466","136419","below_below_below_superkingdom","Ascetosporea","1","131567","2759","543769","136419","1871466","","","","","","","","","",""
"29197","136419","below_below_below_superkingdom","Chlorarachniophyceae","1","131567","2759","543769","136419","29197","","","","","","","","","",""
"467050","29197","below_below_below_below_superkingdom","unclassified Chlorarachniophyceae","1","131567","2759","543769","136419","29197","467050","","","","","","","","",""
"31291","1871466","phylum","Haplosporidia","1","131567","2759","543769","136419","1871466","","31291","","","","","","","",""
"1216353","29178","order","Miliolida","1","131567","2759","543769","29178","","","","1216353","","","","","","",""
"29185","29178","order","Rotaliida","1","131567","2759","543769","29178","","","","29185","","","","","","",""
"29179","1216353","suborder","Miliolina","1","131567","2759","543769","29178","","","","1216353","29179","","","","","",""
"69038","29185","superfamily","Discorboidea","1","131567","2759","543769","29178","","","","29185","","69038","","","","",""
"203397","29185","superfamily","Rotaliacea","1","131567","2759","543769","29178","","","","29185","","203397","","","","",""
"29186","29185","family","Elphidiidae","1","131567","2759","543769","29178","","","","29185","","","29186","","","",""
"31294","31291","family","Haplosporidiidae","1","131567","2759","543769","136419","1871466","","31291","","","","31294","","","",""
"313275","69038","family","Rosalinidae","1","131567","2759","543769","29178","","","","29185","","69038","313275","","","",""
"69034","203397","family","Rotaliidae","1","131567","2759","543769","29178","","","","29185","","203397","69034","","","",""
"46128","29179","family","Soritidae","1","131567","2759","543769","29178","","","","1216353","29179","","46128","","","",""
"295070","46128","subfamily","Soritinae","1","131567","2759","543769","29178","","","","1216353","29179","","46128","295070","","",""
"29189","69034","genus","Ammonia","1","131567","2759","543769","29178","","","","29185","","203397","69034","","29189","",""
"1561962","29197","genus","Amorphochlora","1","131567","2759","543769","136419","29197","","","","","","","","1561962","",""
"227085","29197","genus","Bigelowiella","1","131567","2759","543769","136419","29197","","","","","","","","227085","",""
"29198","29197","genus","Chlorarachnion","1","131567","2759","543769","136419","29197","","","","","","","","29198","",""
"29187","29186","genus","Elphidium","1","131567","2759","543769","29178","","","","29185","","","29186","","29187","",""
"67808","29197","genus","Gymnochlora","1","131567","2759","543769","136419","29197","","","","","","","","67808","",""
"74819","29197","genus","Lotharella","1","131567","2759","543769","136419","29197","","","","","","","","74819","",""
"38078","31294","genus","Minchinia","1","131567","2759","543769","136419","1871466","","31291","","","","31294","","38078","",""
"647365","29197","genus","Partenskyella","1","131567","2759","543769","136419","29197","","","","","","","","647365","",""
"37353","313275","genus","Rosalina","1","131567","2759","543769","29178","","","","29185","","69038","313275","","37353","",""
"87143","295070","genus","Sorites","1","131567","2759","543769","29178","","","","1216353","29179","","46128","295070","87143","",""
"1561963","1561962","species","Amorphochlora amoebiformis","1","131567","2759","543769","136419","29197","","","","","","","","1561962","1561963",""
"552665","227085","species","Bigelowiella longifila","1","131567","2759","543769","136419","29197","","","","","","","","227085","552665",""
"227086","227085","species","Bigelowiella natans","1","131567","2759","543769","136419","29197","","","","","","","","227085","227086",""
"29199","29198","species","Chlorarachnion reptans","1","131567","2759","543769","136419","29197","","","","","","","","29198","29199",""
"91329","467050","species","Chlorarachniophyceae sp. BC52","1","131567","2759","543769","136419","29197","467050","","","","","","","","91329",""
"933848","29187","species","Elphidium margaritaceum","1","131567","2759","543769","29178","","","","29185","","","29186","","29187","933848",""
"629695","67808","species","Gymnochlora sp. CCMP2014","1","131567","2759","543769","136419","29197","","","","","","","","67808","629695",""
"91324","74819","species","Lotharella globosa","1","131567","2759","543769","136419","29197","","","","","","","","74819","91324",""
"641309","74819","species","Lotharella oceanica","1","131567","2759","543769","136419","29197","","","","","","","","74819","641309",""
"262233","38078","species","Minchinia chitonis","1","131567","2759","543769","136419","1871466","","31291","","","","31294","","38078","262233",""
"552666","647365","species","Partenskyella glossopodia","1","131567","2759","543769","136419","29197","","","","","","","","647365","552666",""
"126664","87143","species","Sorites sp.","1","131567","2759","543769","29178","","","","1216353","29179","","46128","295070","87143","126664",""
"753081","227086","below_species","Bigelowiella natans CCMP2755","1","131567","2759","543769","136419","29197","","","","","","","","227085","227086","753081"
