"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","class","order","family","genus","species","below_species"
"1","1","root","root","1","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","",""
"2763","2759","below_superkingdom","Rhodophyta","1","131567","2759","2763","","","","","",""
"2797","2763","class","Bangiophyceae","1","131567","2759","2763","2797","","","","",""
"930023","2763","class","Compsopogonophyceae","1","131567","2759","2763","930023","","","","",""
"661027","2763","class","Rhodellophyceae","1","131567","2759","2763","661027","","","","",""
"446134","2763","class","Stylonematophyceae","1","131567","2759","2763","446134","","","","",""
"29216","2797","order","Bangiales","1","131567","2759","2763","2797","29216","","","",""
"930024","930023","order","Compsopogonales","1","131567","2759","2763","930023","930024","","","",""
"265318","2797","order","Cyanidiales","1","131567","2759","2763","2797","265318","","","",""
"31351","930023","order","Erythropeltidales","1","131567","2759","2763","930023","31351","","","",""
"2798","2797","order","Porphyridiales","1","131567","2759","2763","2797","2798","","","",""
"661028","661027","order","Rhodellales","1","131567","2759","2763","661027","661028","","","",""
"282338","446134","order","Stylonematales","1","131567","2759","2763","446134","282338","","","",""
"31345","29216","family","Bangiaceae","1","131567","2759","2763","2797","29216","31345","","",""
"31352","930024","family","Compsopogonaceae","1","131567","2759","2763","930023","930024","31352","","",""
"265316","265318","family","Cyanidiaceae","1","131567","2759","2763","2797","265318","265316","","",""
"240428","31351","family","Erythrotrichiaceae","1","131567","2759","2763","930023","31351","240428","","",""
"2799","2798","family","Porphyridiaceae","1","131567","2759","2763","2797","2798","2799","","",""
"661029","661028","family","Rhodellaceae","1","131567","2759","2763","661027","661028","661029","","",""
"446133","282338","family","Stylonemataceae","1","131567","2759","2763","446134","282338","446133","","",""
"31353","31352","genus","Compsopogon","1","131567","2759","2763","930023","930024","31352","31353","",""
"45156","265316","genus","Cyanidioschyzon","1","131567","2759","2763","2797","265318","265316","45156","",""
"362234","2799","genus","Erythrolobus","1","131567","2759","2763","2797","2798","2799","362234","",""
"753683","240428","genus","Madagascaria","1","131567","2759","2763","930023","31351","240428","753683","",""
"2791","2799","genus","Porphyridium","1","131567","2759","2763","2797","2798","2799","2791","",""
"1094566","31345","genus","Pyropia","1","131567","2759","2763","2797","29216","31345","1094566","",""
"2800","661029","genus","Rhodella","1","131567","2759","2763","661027","661028","661029","2800","",""
"101923","446133","genus","Rhodosorus","1","131567","2759","2763","446134","282338","446133","101923","",""
"983317","2799","genus","Timspurckia","1","131567","2759","2763","2797","2798","2799","983317","",""
"31354","31353","species","Compsopogon caeruleus","1","131567","2759","2763","930023","930024","31352","31353","31354",""
"45157","45156","species","Cyanidioschyzon merolae","1","131567","2759","2763","2797","265318","265316","45156","45157",""
"1077150","362234","species","Erythrolobus australicus","1","131567","2759","2763","2797","2798","2799","362234","1077150",""
"708628","362234","species","Erythrolobus madagascarensis","1","131567","2759","2763","2797","2798","2799","362234","708628",""
"753684","753683","species","Madagascaria erythrocladioides","1","131567","2759","2763","930023","31351","240428","753683","753684",""
"2792","2791","species","Porphyridium aerugineum","1","131567","2759","2763","2797","2798","2799","2791","2792",""
"2788","1094566","species","Pyropia yezoensis","1","131567","2759","2763","2797","29216","31345","1094566","2788",""
"2801","2800","species","Rhodella violacea","1","131567","2759","2763","661027","661028","661029","2800","2801",""
"101924","101923","species","Rhodosorus marinus","1","131567","2759","2763","446134","282338","446133","101923","101924",""
"708627","983317","species","Timspurckia oligopyrenoides","1","131567","2759","2763","2797","2798","2799","983317","708627",""
"280699","45157","below_species","Cyanidioschyzon merolae strain 10D","1","131567","2759","2763","2797","265318","265316","45156","45157","280699"
